branch,addr:full,phone,opening_hours
台北市內湖店,114臺北市內湖區民權東路六段180巷6號地下一樓,02-87911933,09:00 ~ 22:55
台東縣台東店,950臺東縣臺東市中心里更生路463號,089-335466,09:00 ~ 22:55
台南市永大店,710臺南市永康區永大路二段1516號1樓,06-2013690,09:00 ~ 22:55
台南市永康店,710臺南市永康區中山南路282-3號,06-2019720,09:00 ~ 22:55
台南市西門店,704臺南市北區西門路四段100號,06-2818566,09:00 ~ 22:55
台南市永華店,708臺南市安平區永華路二段238號,06-2938966,09:00 ~ 22:55
台南市東門店,701臺南市東區東門路二段186號,06-2698611,09:00 ~ 22:55
台南市歸仁店,711臺南市歸仁區中山路三段73號1樓,06-2300767,09:00 ~ 22:55
台南市大灣店,710臺南市永康區大灣路505號1樓,06-2056877,09:00 ~ 22:55
台南市安南店,709臺南市安南區安中路一段485號,06-2551338,0900~22:55
台中市梧棲店,435臺中市梧棲區民生街79號,04-26562807,08:00 ~ 21:55
台中市沙鹿店,433臺中市沙鹿區中山路643之2號,04-26633152,09:00 ~ 22:55
台中市豐原店,420臺中市豐原區向陽路160號,04-36025711,09:00 ~ 22:55
台中市大雅店,428臺中市大雅區中清路四段1號,04-25691988,09:00 ~ 22:55
台中市潭子店,427臺中市潭子區雅潭路一段99巷2號,04-36062889,09:00 ~ 22:55
台中市西屯店,407臺中市西屯區玉門路33號1樓,04-24626455,09:00 ~ 22:55
台中市北屯店,406臺中市北屯區北屯路292號,04-36069399,09:00 ~ 22:55
台中市中清店,404臺中市北區中清路一段531號1樓,04-22919866,09:00 ~ 22:55
台中市漢口店,404臺中市北區漢口路四段255號,04-22374596,09:00 ~ 22:55
台中市河南店,407臺中市西屯區河南路四段191號,04-22511658,09:00 ~ 22:55
台中市五權店,404臺中市北區五權路321之2號,04-22063270,09:00 ~ 22:55
台中市精武店,411臺中市太平區中山路四段132-1號,04-23957235,09:00 ~ 22:55
台中市南屯店,408臺中市南屯區五權西路二段218號1樓,04-36015077,09:00 ~ 22:55
台中市國光店,412臺中市大里區國光路二段551之1號1樓,04-24069711,09:00 ~ 22:55
